"code","studysite","species","species_scientific_name","species_common_name","investigator","lon","lat","url","all_investigators"
"NM581","Las Tablas","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-106.0167,36.5333,"https://www.ncdc.noaa.gov/paleo/study/10439","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"NM582","Tres Piedras","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Woodhouse, C.A.",-105.9833,36.6167,"https://www.ncdc.noaa.gov/paleo/study/10440","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"CO636","Natural Arch","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-106.3833,37.8167,"https://www.ncdc.noaa.gov/paleo/study/10446","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"CO637","Chokecherry Canyon","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-105.5667,37.55,"https://www.ncdc.noaa.gov/paleo/study/10447","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"CO638","Grand View Ridge","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-107.85,37.2167,"https://www.ncdc.noaa.gov/paleo/study/10448","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"CO639","Happy Meadows","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Woodhouse, C.A.",-105.3667,39.0167,"https://www.ncdc.noaa.gov/paleo/study/10449","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"CO640","Temple Canyon","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-105.3,38.4,"https://www.ncdc.noaa.gov/paleo/study/10450","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J."
"CO641","Van Bibber Update","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Woodhouse, C.A.",-105.25,39.8,"https://www.ncdc.noaa.gov/paleo/study/10451","Woodhouse, C.A.; Lukas, J.J."
"SPAI065","Arguis","QUFG","Quercus faginea Lam.","Portuguese oak","Alla, A.",-0.4167,42.3167,"https://www.ncdc.noaa.gov/paleo/study/10473","Alla, A.; Camarero, J.J."
"SPAI066","Nueno","QUFG","Quercus faginea Lam.","Portuguese oak","Alla, A.",-0.4167,42.25,"https://www.ncdc.noaa.gov/paleo/study/10474","Alla, A.; Camarero, J.J."
